[C++][time] log reset
[C++][time] create engine, model=/data3/ledi/models/DeepSeek-R1-Distill-Qwen-7B, max_seq=800
[C++][time] prefill token 0 forward_ms=23.4632
[C++][time] prefill token 1 forward_ms=22.8091
[C++][time] prefill token 2 forward_ms=22.8238
[C++][time] prefill token 3 forward_ms=22.8138
[C++][time] prefill token 4 forward_ms=22.823
[C++][time] prefill token 5 forward_ms=22.84
[C++][time] prefill token 6 forward_ms=22.8624
[C++][time] prefill token 7 forward_ms=22.8325
[C++][time] prefill token 8 forward_ms=22.8578
[C++][time] prefill token 9 forward_ms=22.872
[C++][time] prefill token 10 forward_ms=22.8857
[C++][time] prefill token 11 forward_ms=22.8767
[C++][time] prefill token 12 forward_ms=22.8847
[C++][time] prefill total_ms=298.068, tokens=13, tokens_per_s=43.6143
[C++][time] decode step_ms=23.2777, sample_ms=0.368571, forward_ms=22.9002, decode_tokens=1, decode_tokens_per_s=42.9596
[C++][time] decode step_ms=24.1997, sample_ms=0.320751, forward_ms=23.8726, decode_tokens=203, decode_tokens_per_s=42.17
[C++][time] decode step_ms=24.22, sample_ms=0.329535, forward_ms=23.8844, decode_tokens=204, decode_tokens_per_s=42.1656
[C++][time] decode step_ms=24.2214, sample_ms=0.318193, forward_ms=23.8967, decode_tokens=205, decode_tokens_per_s=42.1612
[C++][time] decode step_ms=24.2316, sample_ms=0.318845, forward_ms=23.9067, decode_tokens=206, decode_tokens_per_s=42.1567
[C++][time] decode step_ms=24.2171, sample_ms=0.317731, forward_ms=23.8934, decode_tokens=207, decode_tokens_per_s=42.1525
[C++][time] decode step_ms=24.248, sample_ms=0.325166, forward_ms=23.9162, decode_tokens=208, decode_tokens_per_s=42.148
[C++][time] decode step_ms=24.2411, sample_ms=0.317431, forward_ms=23.9176, decode_tokens=209, decode_tokens_per_s=42.1436
[C++][time] decode step_ms=24.2439, sample_ms=0.323226, forward_ms=23.9146, decode_tokens=210, decode_tokens_per_s=42.1393
[C++][time] decode step_ms=24.2492, sample_ms=0.324382, forward_ms=23.9186, decode_tokens=211, decode_tokens_per_s=42.1349
[C++][time] decode step_ms=24.224, sample_ms=0.324953, forward_ms=23.8923, decode_tokens=212, decode_tokens_per_s=42.1308
[C++][time] decode step_ms=24.2476, sample_ms=0.318051, forward_ms=23.9237, decode_tokens=213, decode_tokens_per_s=42.1265
[C++][time] decode step_ms=24.2884, sample_ms=0.319138, forward_ms=23.9632, decode_tokens=214, decode_tokens_per_s=42.122
[C++][time] decode step_ms=24.2762, sample_ms=0.318596, forward_ms=23.9517, decode_tokens=215, decode_tokens_per_s=42.1175
[C++][time] decode step_ms=24.2721, sample_ms=0.324388, forward_ms=23.9367, decode_tokens=216, decode_tokens_per_s=42.1132
[C++][time] decode step_ms=24.2919, sample_ms=0.324588, forward_ms=23.9608, decode_tokens=217, decode_tokens_per_s=42.1087
[C++][time] decode step_ms=24.3064, sample_ms=0.318232, forward_ms=23.982, decode_tokens=218, decode_tokens_per_s=42.1042
[C++][time] decode step_ms=24.3049, sample_ms=0.318352, forward_ms=23.98, decode_tokens=219, decode_tokens_per_s=42.0997
[C++][time] decode step_ms=24.3081, sample_ms=0.324043, forward_ms=23.9776, decode_tokens=220, decode_tokens_per_s=42.0952
[C++][time] decode step_ms=24.3377, sample_ms=0.318167, forward_ms=24.0135, decode_tokens=221, decode_tokens_per_s=42.0906
[C++][time] decode step_ms=24.352, sample_ms=0.32564, forward_ms=24.0202, decode_tokens=222, decode_tokens_per_s=42.0858
[C++][time] decode step_ms=24.3416, sample_ms=0.323093, forward_ms=24.0121, decode_tokens=223, decode_tokens_per_s=42.0812
[C++][time] decode step_ms=24.3539, sample_ms=0.321328, forward_ms=24.0259, decode_tokens=224, decode_tokens_per_s=42.0766
[C++][time] decode step_ms=24.3586, sample_ms=0.320598, forward_ms=24.0315, decode_tokens=225, decode_tokens_per_s=42.0719
[C++][time] decode step_ms=24.3604, sample_ms=0.317063, forward_ms=24.0372, decode_tokens=226, decode_tokens_per_s=42.0673
[C++][time] decode step_ms=24.3629, sample_ms=0.316806, forward_ms=24.0402, decode_tokens=227, decode_tokens_per_s=42.0627
[C++][time] decode step_ms=24.3592, sample_ms=0.319399, forward_ms=24.0337, decode_tokens=228, decode_tokens_per_s=42.0581
[C++][time] decode step_ms=24.396, sample_ms=0.325558, forward_ms=24.0639, decode_tokens=229, decode_tokens_per_s=42.0533
[C++][time] decode step_ms=24.3886, sample_ms=0.319519, forward_ms=24.0629, decode_tokens=230, decode_tokens_per_s=42.0486
[C++][time] decode step_ms=24.3968, sample_ms=0.318064, forward_ms=24.0725, decode_tokens=231, decode_tokens_per_s=42.0439
[C++][time] decode step_ms=24.3872, sample_ms=0.317635, forward_ms=24.0633, decode_tokens=232, decode_tokens_per_s=42.0394
[C++][time] decode step_ms=24.4326, sample_ms=0.330546, forward_ms=24.0956, decode_tokens=233, decode_tokens_per_s=42.0345
[C++][time] decode step_ms=24.3952, sample_ms=0.31944, forward_ms=24.0697, decode_tokens=234, decode_tokens_per_s=42.0299
[C++][time] decode step_ms=24.3994, sample_ms=0.323134, forward_ms=24.0703, decode_tokens=235, decode_tokens_per_s=42.0253
[C++][time] decode step_ms=24.3913, sample_ms=0.31693, forward_ms=24.0686, decode_tokens=236, decode_tokens_per_s=42.0209
[C++][time] decode step_ms=24.4185, sample_ms=0.32644, forward_ms=24.085, decode_tokens=237, decode_tokens_per_s=42.0162
[C++][time] decode step_ms=24.4212, sample_ms=0.318035, forward_ms=24.0968, decode_tokens=238, decode_tokens_per_s=42.0116
[C++][time] decode step_ms=24.411, sample_ms=0.319317, forward_ms=24.0858, decode_tokens=239, decode_tokens_per_s=42.0071
[C++][time] decode step_ms=24.4143, sample_ms=0.322538, forward_ms=24.0854, decode_tokens=240, decode_tokens_per_s=42.0027
[C++][time] decode step_ms=24.4421, sample_ms=0.327974, forward_ms=24.1073, decode_tokens=241, decode_tokens_per_s=41.998
[C++][time] decode step_ms=24.4268, sample_ms=0.319421, forward_ms=24.1014, decode_tokens=242, decode_tokens_per_s=41.9935
[C++][time] decode step_ms=24.4248, sample_ms=0.326054, forward_ms=24.0927, decode_tokens=243, decode_tokens_per_s=41.9891
[C++][time] decode step_ms=24.5363, sample_ms=0.321839, forward_ms=24.2082, decode_tokens=244, decode_tokens_per_s=41.9839
[C++][time] decode step_ms=24.5511, sample_ms=0.32133, forward_ms=24.2237, decode_tokens=245, decode_tokens_per_s=41.9786
[C++][time] decode step_ms=24.569, sample_ms=0.320114, forward_ms=24.2421, decode_tokens=246, decode_tokens_per_s=41.9733
[C++][time] decode step_ms=24.5392, sample_ms=0.318462, forward_ms=24.2148, decode_tokens=247, decode_tokens_per_s=41.9682
[C++][time] decode step_ms=24.5583, sample_ms=0.317269, forward_ms=24.2349, decode_tokens=248, decode_tokens_per_s=41.963
[C++][time] decode step_ms=24.6257, sample_ms=0.332486, forward_ms=24.2867, decode_tokens=249, decode_tokens_per_s=41.9574
[C++][time] decode step_ms=24.5815, sample_ms=0.31813, forward_ms=24.2572, decode_tokens=250, decode_tokens_per_s=41.9521
[C++][time] decode step_ms=24.5785, sample_ms=0.318813, forward_ms=24.2539, decode_tokens=251, decode_tokens_per_s=41.9469
[C++][time] decode step_ms=24.5806, sample_ms=0.317441, forward_ms=24.2571, decode_tokens=252, decode_tokens_per_s=41.9417
[C++][time] decode step_ms=24.5877, sample_ms=0.324704, forward_ms=24.2567, decode_tokens=253, decode_tokens_per_s=41.9365
[C++][time] decode step_ms=24.62, sample_ms=0.318875, forward_ms=24.295, decode_tokens=254, decode_tokens_per_s=41.9312
[C++][time] decode step_ms=24.6082, sample_ms=0.321661, forward_ms=24.2803, decode_tokens=255, decode_tokens_per_s=41.9259
[C++][time] decode step_ms=24.6144, sample_ms=0.320582, forward_ms=24.2877, decode_tokens=256, decode_tokens_per_s=41.9207
[C++][time] decode step_ms=24.6256, sample_ms=0.323711, forward_ms=24.2956, decode_tokens=257, decode_tokens_per_s=41.9154
[C++][time] decode step_ms=24.6462, sample_ms=0.318853, forward_ms=24.3212, decode_tokens=258, decode_tokens_per_s=41.9101
[C++][time] decode step_ms=24.6114, sample_ms=0.318255, forward_ms=24.287, decode_tokens=259, decode_tokens_per_s=41.905
[C++][time] decode step_ms=24.6226, sample_ms=0.318166, forward_ms=24.2985, decode_tokens=260, decode_tokens_per_s=41.8999
[C++][time] decode step_ms=24.6591, sample_ms=0.323139, forward_ms=24.3299, decode_tokens=261, decode_tokens_per_s=41.8945
[C++][time] decode step_ms=24.6769, sample_ms=0.318835, forward_ms=24.352, decode_tokens=262, decode_tokens_per_s=41.8891
[C++][time] decode step_ms=24.6458, sample_ms=0.323958, forward_ms=24.3157, decode_tokens=263, decode_tokens_per_s=41.884
[C++][time] decode step_ms=24.6616, sample_ms=0.31773, forward_ms=24.3379, decode_tokens=264, decode_tokens_per_s=41.8787
[C++][time] decode step_ms=24.6784, sample_ms=0.324059, forward_ms=24.3476, decode_tokens=265, decode_tokens_per_s=41.8734
[C++][time] decode step_ms=24.6721, sample_ms=0.318373, forward_ms=24.3475, decode_tokens=266, decode_tokens_per_s=41.8682
[C++][time] decode step_ms=24.6728, sample_ms=0.317911, forward_ms=24.3489, decode_tokens=267, decode_tokens_per_s=41.8631
[C++][time] decode step_ms=24.6866, sample_ms=0.322017, forward_ms=24.3581, decode_tokens=268, decode_tokens_per_s=41.8578
[C++][time] decode step_ms=24.6986, sample_ms=0.323903, forward_ms=24.3684, decode_tokens=269, decode_tokens_per_s=41.8526
[C++][time] decode step_ms=24.7145, sample_ms=0.318384, forward_ms=24.3899, decode_tokens=270, decode_tokens_per_s=41.8472
[C++][time] decode step_ms=24.7203, sample_ms=0.319138, forward_ms=24.3892, decode_tokens=271, decode_tokens_per_s=41.8419
[C++][time] decode step_ms=24.7197, sample_ms=0.320442, forward_ms=24.3932, decode_tokens=272, decode_tokens_per_s=41.8366
[C++][time] decode step_ms=24.7372, sample_ms=0.323877, forward_ms=24.4069, decode_tokens=273, decode_tokens_per_s=41.8313
[C++][time] decode step_ms=24.7491, sample_ms=0.32157, forward_ms=24.4209, decode_tokens=274, decode_tokens_per_s=41.8259
[C++][time] decode step_ms=24.7179, sample_ms=0.325114, forward_ms=24.3866, decode_tokens=275, decode_tokens_per_s=41.8208
[C++][time] decode step_ms=24.7234, sample_ms=0.319905, forward_ms=24.3975, decode_tokens=276, decode_tokens_per_s=41.8156
[C++][time] decode step_ms=24.7562, sample_ms=0.325961, forward_ms=24.4238, decode_tokens=277, decode_tokens_per_s=41.8103
[C++][time] decode step_ms=24.7503, sample_ms=0.319549, forward_ms=24.4241, decode_tokens=278, decode_tokens_per_s=41.8051
[C++][time] decode step_ms=24.7499, sample_ms=0.326744, forward_ms=24.4169, decode_tokens=279, decode_tokens_per_s=41.7999
[C++][time] decode step_ms=24.7487, sample_ms=0.318947, forward_ms=24.4238, decode_tokens=280, decode_tokens_per_s=41.7947
[C++][time] decode step_ms=24.7582, sample_ms=0.325223, forward_ms=24.4265, decode_tokens=281, decode_tokens_per_s=41.7895
[C++][time] decode step_ms=24.7641, sample_ms=0.324231, forward_ms=24.4335, decode_tokens=282, decode_tokens_per_s=41.7844
[C++][time] decode step_ms=24.7476, sample_ms=0.325131, forward_ms=24.4161, decode_tokens=283, decode_tokens_per_s=41.7794
[C++][time] decode step_ms=24.758, sample_ms=0.321279, forward_ms=24.4305, decode_tokens=284, decode_tokens_per_s=41.7743
[C++][time] decode step_ms=24.7776, sample_ms=0.323148, forward_ms=24.4481, decode_tokens=285, decode_tokens_per_s=41.7692
[C++][time] decode step_ms=24.8011, sample_ms=0.322718, forward_ms=24.4723, decode_tokens=286, decode_tokens_per_s=41.7639
[C++][time] decode step_ms=24.7639, sample_ms=0.31873, forward_ms=24.4389, decode_tokens=287, decode_tokens_per_s=41.7589
[C++][time] decode step_ms=24.7725, sample_ms=0.317784, forward_ms=24.4484, decode_tokens=288, decode_tokens_per_s=41.7539
[C++][time] decode step_ms=24.7823, sample_ms=0.324779, forward_ms=24.4512, decode_tokens=289, decode_tokens_per_s=41.7489
[C++][time] decode step_ms=24.7878, sample_ms=0.31724, forward_ms=24.4645, decode_tokens=290, decode_tokens_per_s=41.7439
[C++][time] decode step_ms=24.74, sample_ms=0.317708, forward_ms=24.4164, decode_tokens=291, decode_tokens_per_s=41.7392
[C++][time] decode step_ms=24.7723, sample_ms=0.319454, forward_ms=24.4464, decode_tokens=292, decode_tokens_per_s=41.7343
[C++][time] decode step_ms=24.7996, sample_ms=0.325177, forward_ms=24.4682, decode_tokens=293, decode_tokens_per_s=41.7294
[C++][time] decode step_ms=24.8051, sample_ms=0.319189, forward_ms=24.4796, decode_tokens=294, decode_tokens_per_s=41.7244
[C++][time] decode step_ms=24.8036, sample_ms=0.32762, forward_ms=24.47, decode_tokens=295, decode_tokens_per_s=41.7194
[C++][time] decode step_ms=24.7982, sample_ms=0.317765, forward_ms=24.4742, decode_tokens=296, decode_tokens_per_s=41.7146
[C++][time] decode step_ms=24.8245, sample_ms=0.32421, forward_ms=24.4939, decode_tokens=297, decode_tokens_per_s=41.7096
[C++][time] decode step_ms=24.8148, sample_ms=0.318546, forward_ms=24.4902, decode_tokens=298, decode_tokens_per_s=41.7047
[C++][time] decode step_ms=24.8229, sample_ms=0.325445, forward_ms=24.4829, decode_tokens=299, decode_tokens_per_s=41.6998
[C++][time] decode step_ms=24.8175, sample_ms=0.320211, forward_ms=24.4912, decode_tokens=300, decode_tokens_per_s=41.6949
[C++][time] decode step_ms=24.8514, sample_ms=0.324068, forward_ms=24.5209, decode_tokens=301, decode_tokens_per_s=41.6899
[C++][time] decode step_ms=24.8677, sample_ms=0.318509, forward_ms=24.5433, decode_tokens=302, decode_tokens_per_s=41.6848
[C++][time] decode step_ms=24.842, sample_ms=0.317517, forward_ms=24.5177, decode_tokens=303, decode_tokens_per_s=41.6799
[C++][time] decode step_ms=24.8437, sample_ms=0.318337, forward_ms=24.519, decode_tokens=304, decode_tokens_per_s=41.6751
[C++][time] decode step_ms=24.8597, sample_ms=0.322229, forward_ms=24.531, decode_tokens=305, decode_tokens_per_s=41.6702
[C++][time] decode step_ms=24.8724, sample_ms=0.323038, forward_ms=24.5429, decode_tokens=306, decode_tokens_per_s=41.6652
[C++][time] decode step_ms=24.849, sample_ms=0.31971, forward_ms=24.5225, decode_tokens=307, decode_tokens_per_s=41.6604
[C++][time] decode step_ms=24.8598, sample_ms=0.325644, forward_ms=24.5277, decode_tokens=308, decode_tokens_per_s=41.6556
[C++][time] decode step_ms=24.8798, sample_ms=0.32604, forward_ms=24.5476, decode_tokens=309, decode_tokens_per_s=41.6507
[C++][time] decode step_ms=24.8972, sample_ms=0.318186, forward_ms=24.5731, decode_tokens=310, decode_tokens_per_s=41.6457
[C++][time] decode step_ms=24.8737, sample_ms=0.318275, forward_ms=24.5494, decode_tokens=311, decode_tokens_per_s=41.6409
[C++][time] decode step_ms=24.8787, sample_ms=0.322669, forward_ms=24.5497, decode_tokens=312, decode_tokens_per_s=41.6361
[C++][time] decode step_ms=24.8957, sample_ms=0.323472, forward_ms=24.5659, decode_tokens=313, decode_tokens_per_s=41.6312
[C++][time] decode step_ms=24.9058, sample_ms=0.318707, forward_ms=24.5812, decode_tokens=314, decode_tokens_per_s=41.6263
[C++][time] decode step_ms=24.8858, sample_ms=0.319661, forward_ms=24.5603, decode_tokens=315, decode_tokens_per_s=41.6216
[C++][time] decode step_ms=24.8935, sample_ms=0.320607, forward_ms=24.5669, decode_tokens=316, decode_tokens_per_s=41.6168
[C++][time] decode step_ms=24.8942, sample_ms=0.323851, forward_ms=24.564, decode_tokens=317, decode_tokens_per_s=41.6121
[C++][time] decode step_ms=24.9396, sample_ms=0.318674, forward_ms=24.6145, decode_tokens=318, decode_tokens_per_s=41.6072
[C++][time] decode step_ms=24.9171, sample_ms=0.326865, forward_ms=24.5841, decode_tokens=319, decode_tokens_per_s=41.6024
[C++][time] decode step_ms=24.9226, sample_ms=0.318862, forward_ms=24.5975, decode_tokens=320, decode_tokens_per_s=41.5976
[C++][time] decode step_ms=24.9445, sample_ms=0.324105, forward_ms=24.6139, decode_tokens=321, decode_tokens_per_s=41.5927
[C++][time] decode step_ms=24.9562, sample_ms=0.318989, forward_ms=24.631, decode_tokens=322, decode_tokens_per_s=41.5878
[C++][time] decode step_ms=24.9195, sample_ms=0.317549, forward_ms=24.5961, decode_tokens=323, decode_tokens_per_s=41.5831
[C++][time] decode step_ms=24.9377, sample_ms=0.324723, forward_ms=24.6062, decode_tokens=324, decode_tokens_per_s=41.5784
[C++][time] decode step_ms=24.9454, sample_ms=0.322321, forward_ms=24.6161, decode_tokens=325, decode_tokens_per_s=41.5736
[C++][time] decode step_ms=24.9638, sample_ms=0.318863, forward_ms=24.6385, decode_tokens=326, decode_tokens_per_s=41.5688
[C++][time] decode step_ms=24.944, sample_ms=0.319401, forward_ms=24.6187, decode_tokens=327, decode_tokens_per_s=41.5641
[C++][time] decode step_ms=24.9572, sample_ms=0.323944, forward_ms=24.6274, decode_tokens=328, decode_tokens_per_s=41.5594
[C++][time] decode step_ms=24.9778, sample_ms=0.327049, forward_ms=24.6443, decode_tokens=329, decode_tokens_per_s=41.5546
[C++][time] decode step_ms=24.9695, sample_ms=0.320105, forward_ms=24.6429, decode_tokens=330, decode_tokens_per_s=41.5498
[C++][time] decode step_ms=24.973, sample_ms=0.327148, forward_ms=24.6396, decode_tokens=331, decode_tokens_per_s=41.5451
[C++][time] decode step_ms=24.9826, sample_ms=0.319708, forward_ms=24.6568, decode_tokens=332, decode_tokens_per_s=41.5404
[C++][time] decode step_ms=25.012, sample_ms=0.327688, forward_ms=24.6776, decode_tokens=333, decode_tokens_per_s=41.5355
[C++][time] decode step_ms=25.0381, sample_ms=0.334023, forward_ms=24.6972, decode_tokens=334, decode_tokens_per_s=41.5305
[C++][time] decode step_ms=25.001, sample_ms=0.320861, forward_ms=24.6732, decode_tokens=335, decode_tokens_per_s=41.5258
[C++][time] decode step_ms=25.0273, sample_ms=0.318163, forward_ms=24.7032, decode_tokens=336, decode_tokens_per_s=41.5209
[C++][time] decode step_ms=25.0292, sample_ms=0.324815, forward_ms=24.698, decode_tokens=337, decode_tokens_per_s=41.5161
[C++][time] decode step_ms=25.0487, sample_ms=0.326419, forward_ms=24.7155, decode_tokens=338, decode_tokens_per_s=41.5112
[C++][time] decode step_ms=25.0177, sample_ms=0.32021, forward_ms=24.6913, decode_tokens=339, decode_tokens_per_s=41.5065
[C++][time] decode step_ms=25.0102, sample_ms=0.322096, forward_ms=24.6819, decode_tokens=340, decode_tokens_per_s=41.5018
[C++][time] decode step_ms=25.0454, sample_ms=0.326909, forward_ms=24.7118, decode_tokens=341, decode_tokens_per_s=41.497
[C++][time] decode step_ms=25.0451, sample_ms=0.320271, forward_ms=24.7179, decode_tokens=342, decode_tokens_per_s=41.4923
[C++][time] decode step_ms=25.0306, sample_ms=0.323321, forward_ms=24.7014, decode_tokens=343, decode_tokens_per_s=41.4876
[C++][time] decode step_ms=25.056, sample_ms=0.325717, forward_ms=24.724, decode_tokens=344, decode_tokens_per_s=41.4828
[C++][time] decode step_ms=25.0519, sample_ms=0.323129, forward_ms=24.7218, decode_tokens=345, decode_tokens_per_s=41.4781
[C++][time] decode step_ms=25.0469, sample_ms=0.318183, forward_ms=24.7228, decode_tokens=346, decode_tokens_per_s=41.4735
[C++][time] decode step_ms=25.0664, sample_ms=0.320201, forward_ms=24.7396, decode_tokens=347, decode_tokens_per_s=41.4687
[C++][time] decode step_ms=25.0604, sample_ms=0.318453, forward_ms=24.7358, decode_tokens=348, decode_tokens_per_s=41.4641
[C++][time] decode step_ms=25.0854, sample_ms=0.324708, forward_ms=24.7544, decode_tokens=349, decode_tokens_per_s=41.4593
[C++][time] decode step_ms=25.1053, sample_ms=0.324861, forward_ms=24.7744, decode_tokens=350, decode_tokens_per_s=41.4545
[C++][time] decode step_ms=25.0807, sample_ms=0.318133, forward_ms=24.7562, decode_tokens=351, decode_tokens_per_s=41.4498
[C++][time] decode step_ms=25.0995, sample_ms=0.318203, forward_ms=24.7752, decode_tokens=352, decode_tokens_per_s=41.445
[C++][time] decode step_ms=25.1019, sample_ms=0.324646, forward_ms=24.7706, decode_tokens=353, decode_tokens_per_s=41.4403
[C++][time] decode step_ms=25.128, sample_ms=0.31911, forward_ms=24.8021, decode_tokens=354, decode_tokens_per_s=41.4354
[C++][time] decode step_ms=25.0999, sample_ms=0.321556, forward_ms=24.772, decode_tokens=355, decode_tokens_per_s=41.4308
[C++][time] decode step_ms=25.1147, sample_ms=0.32275, forward_ms=24.7857, decode_tokens=356, decode_tokens_per_s=41.4261
[C++][time] decode step_ms=25.1502, sample_ms=0.328065, forward_ms=24.8141, decode_tokens=357, decode_tokens_per_s=41.4212
[C++][time] decode step_ms=25.1388, sample_ms=0.319906, forward_ms=24.8127, decode_tokens=358, decode_tokens_per_s=41.4164
[C++][time] decode step_ms=25.1304, sample_ms=0.317483, forward_ms=24.8067, decode_tokens=359, decode_tokens_per_s=41.4117
[C++][time] decode step_ms=25.1254, sample_ms=0.317211, forward_ms=24.8021, decode_tokens=360, decode_tokens_per_s=41.4071
[C++][time] decode step_ms=25.1472, sample_ms=0.325793, forward_ms=24.8146, decode_tokens=361, decode_tokens_per_s=41.4023
[C++][time] decode step_ms=25.1544, sample_ms=0.318723, forward_ms=24.8295, decode_tokens=362, decode_tokens_per_s=41.3976
[C++][time] decode step_ms=25.148, sample_ms=0.320013, forward_ms=24.8214, decode_tokens=363, decode_tokens_per_s=41.3929
[C++][time] decode step_ms=25.153, sample_ms=0.319061, forward_ms=24.8277, decode_tokens=364, decode_tokens_per_s=41.3882
[C++][time] decode step_ms=25.1678, sample_ms=0.322359, forward_ms=24.8392, decode_tokens=365, decode_tokens_per_s=41.3835
[C++][time] decode step_ms=25.1722, sample_ms=0.317759, forward_ms=24.8482, decode_tokens=366, decode_tokens_per_s=41.3788
[C++][time] decode step_ms=25.1576, sample_ms=0.318962, forward_ms=24.8321, decode_tokens=367, decode_tokens_per_s=41.3742
[C++][time] decode step_ms=25.1638, sample_ms=0.319592, forward_ms=24.8378, decode_tokens=368, decode_tokens_per_s=41.3695
[C++][time] decode step_ms=25.1858, sample_ms=0.325394, forward_ms=24.8541, decode_tokens=369, decode_tokens_per_s=41.3648
[C++][time] decode step_ms=25.1967, sample_ms=0.320845, forward_ms=24.8696, decode_tokens=370, decode_tokens_per_s=41.3601
[C++][time] decode step_ms=25.179, sample_ms=0.319867, forward_ms=24.8529, decode_tokens=371, decode_tokens_per_s=41.3555
[C++][time] decode step_ms=25.1539, sample_ms=0.317131, forward_ms=24.8307, decode_tokens=372, decode_tokens_per_s=41.351
[C++][time] decode step_ms=25.1945, sample_ms=0.323339, forward_ms=24.8648, decode_tokens=373, decode_tokens_per_s=41.3464
[C++][time] decode step_ms=25.2335, sample_ms=0.323204, forward_ms=24.904, decode_tokens=374, decode_tokens_per_s=41.3416
[C++][time] decode step_ms=25.2132, sample_ms=0.326944, forward_ms=24.8801, decode_tokens=375, decode_tokens_per_s=41.3369
[C++][time] decode step_ms=25.2116, sample_ms=0.324915, forward_ms=24.88, decode_tokens=376, decode_tokens_per_s=41.3323
[C++][time] decode step_ms=25.2332, sample_ms=0.325257, forward_ms=24.9012, decode_tokens=377, decode_tokens_per_s=41.3276
[C++][time] decode step_ms=25.2437, sample_ms=0.318641, forward_ms=24.9189, decode_tokens=378, decode_tokens_per_s=41.3229
[C++][time] decode step_ms=25.2067, sample_ms=0.317785, forward_ms=24.883, decode_tokens=379, decode_tokens_per_s=41.3183
[C++][time] decode step_ms=25.2384, sample_ms=0.320366, forward_ms=24.9121, decode_tokens=380, decode_tokens_per_s=41.3137
[C++][time] decode step_ms=25.2326, sample_ms=0.326813, forward_ms=24.8993, decode_tokens=381, decode_tokens_per_s=41.3091
[C++][time] decode step_ms=25.249, sample_ms=0.319044, forward_ms=24.924, decode_tokens=382, decode_tokens_per_s=41.3044
[C++][time] decode step_ms=25.2457, sample_ms=0.323094, forward_ms=24.9162, decode_tokens=383, decode_tokens_per_s=41.2998
[C++][time] decode step_ms=25.2478, sample_ms=0.316984, forward_ms=24.9245, decode_tokens=384, decode_tokens_per_s=41.2952
[C++][time] decode step_ms=25.2943, sample_ms=0.323755, forward_ms=24.9637, decode_tokens=385, decode_tokens_per_s=41.2904
[C++][time] decode step_ms=25.2802, sample_ms=0.317986, forward_ms=24.9558, decode_tokens=386, decode_tokens_per_s=41.2857
[C++][time] decode step_ms=25.2599, sample_ms=0.317469, forward_ms=24.9363, decode_tokens=387, decode_tokens_per_s=41.2812
[C++][time] decode step_ms=25.2807, sample_ms=0.32196, forward_ms=24.952, decode_tokens=388, decode_tokens_per_s=41.2765
[C++][time] decode step_ms=25.3111, sample_ms=0.330122, forward_ms=24.9744, decode_tokens=389, decode_tokens_per_s=41.2718
[C++][time] decode step_ms=25.3141, sample_ms=0.31859, forward_ms=24.9893, decode_tokens=390, decode_tokens_per_s=41.267
[C++][time] decode step_ms=25.305, sample_ms=0.318235, forward_ms=24.9781, decode_tokens=391, decode_tokens_per_s=41.2624
[C++][time] decode step_ms=25.3059, sample_ms=0.319953, forward_ms=24.9796, decode_tokens=392, decode_tokens_per_s=41.2577
[C++][time] decode step_ms=25.3163, sample_ms=0.325838, forward_ms=24.984, decode_tokens=393, decode_tokens_per_s=41.2531
[C++][time] decode step_ms=25.3281, sample_ms=0.322102, forward_ms=24.9996, decode_tokens=394, decode_tokens_per_s=41.2484
[C++][time] decode step_ms=25.3072, sample_ms=0.320498, forward_ms=24.9804, decode_tokens=395, decode_tokens_per_s=41.2438
[C++][time] decode step_ms=25.3199, sample_ms=0.322343, forward_ms=24.9911, decode_tokens=396, decode_tokens_per_s=41.2392
[C++][time] decode step_ms=25.3481, sample_ms=0.324463, forward_ms=25.0168, decode_tokens=397, decode_tokens_per_s=41.2345
[C++][time] decode step_ms=25.3458, sample_ms=0.318749, forward_ms=25.0209, decode_tokens=398, decode_tokens_per_s=41.2298
[C++][time] decode step_ms=25.326, sample_ms=0.318977, forward_ms=25.0007, decode_tokens=399, decode_tokens_per_s=41.2252
[C++][time] decode step_ms=25.3475, sample_ms=0.330976, forward_ms=25.007, decode_tokens=400, decode_tokens_per_s=41.2206
[C++][time] decode step_ms=25.3515, sample_ms=0.323064, forward_ms=25.0218, decode_tokens=401, decode_tokens_per_s=41.216
[C++][time] decode step_ms=25.3528, sample_ms=0.319811, forward_ms=25.0269, decode_tokens=402, decode_tokens_per_s=41.2113
[C++][time] decode step_ms=25.3147, sample_ms=0.318221, forward_ms=24.9904, decode_tokens=403, decode_tokens_per_s=41.2069
[C++][time] decode step_ms=25.336, sample_ms=0.323393, forward_ms=25.0065, decode_tokens=404, decode_tokens_per_s=41.2024
[C++][time] decode step_ms=25.3662, sample_ms=0.318792, forward_ms=25.041, decode_tokens=405, decode_tokens_per_s=41.1978
[C++][time] decode step_ms=25.3596, sample_ms=0.323809, forward_ms=25.0297, decode_tokens=406, decode_tokens_per_s=41.1933
[C++][time] decode step_ms=25.3749, sample_ms=0.324481, forward_ms=25.0447, decode_tokens=407, decode_tokens_per_s=41.1887
[C++][time] decode step_ms=25.3743, sample_ms=0.325862, forward_ms=25.0414, decode_tokens=408, decode_tokens_per_s=41.1842
[C++][time] decode step_ms=25.3643, sample_ms=0.319153, forward_ms=25.0389, decode_tokens=409, decode_tokens_per_s=41.1797
[C++][time] decode step_ms=25.3806, sample_ms=0.318454, forward_ms=25.0561, decode_tokens=410, decode_tokens_per_s=41.1751
[C++][time] decode step_ms=25.3687, sample_ms=0.318832, forward_ms=25.0438, decode_tokens=411, decode_tokens_per_s=41.1707
